key,lookup
delia,bedelia
delia,bridgit
belinda,belle
belinda,linda
belle,belinda
belle,linda
linda,belinda
linda,belle
arabella,isabella
bella,isabella
belle,isabella
isabella,arabella
isabella,bella
isabella,belle
ben,benjamin
ben,bennie
benjamin,ben
benjamin,bennie
bennie,ben
bennie,benjamin
ben,benedict
benedict,ben
benedict,bennie
bennie,benedict
ben,benjy
ben,jamie
benjamin,benjy
benjamin,jamie
benjy,ben
benjy,benjamin
benjy,bennie
benjy,jamie
bennie,benjy
bennie,jamie
jamie,ben
jamie,benjamin
jamie,benjy
jamie,bennie
barney,bernard
barney,berney
barney,bernie
bernard,barney
bernard,berney
bernard,bernie
berney,barney
berney,bernard
berney,bernie
bernie,barney
bernie,bernard
bernie,berney
bert,bob
bert,bobby
bertie,bob
bertie,bobby
bob,bert
bob,bertie
bob,bobby
bobby,bert
bobby,bertie
bobby,bob
bert,bertha
bert,birdie
bertha,bert
bertha,bertie
bertha,birdie
bertie,bertha
bertie,birdie
birdie,bert
birdie,bertha
birdie,bertie
bert,bertram
bertram,bert
bess,bessie
bessie,bess
beth,betsy
beth,betty
beth,elizabeth
betsy,beth
betsy,betty
betsy,elizabeth
betty,beth
betty,betsy
betty,elizabeth
elizabeth,beth
elizabeth,betsy
elizabeth,betty
beth,bethena
beth,thaney
bethena,beth
bethena,thaney
thaney,beth
thaney,bethena
bev,beverly
beverly,bev
bezaleel,zeely
zeely,bezaleel
biddie,biddy
biddy,biddie
bill,billy
bill,fred
bill,robert
bill,william
bill,willie
billy,bill
billy,fred
billy,robert
billy,william
billy,willie
fred,bill
fred,billy
fred,robert
fred,william
fred,willie
robert,bill
robert,billy
robert,fred
robert,william
robert,willie
william,bill
william,billy
william,fred
william,robert
william,willie
willie,bill
willie,billy
willie,fred
willie,robert
willie,william
bea,blanche
blanche,bea
bob,rob
bob,robert
rob,bob
rob,robert
robert,bob
robert,rob
bobby,rob
rob,bobby
bo,boetius
boetius,bo
brad,bradford
brad,ford
bradford,brad
bradford,ford
ford,brad
ford,bradford
brady,brody
brody,brady
brandy,brenda
brenda,brandy
brian,bryan
brian,bryant
bryan,brian
bryan,bryant
bryant,brian
bryant,bryan
biddie,bridget
biddie,bridgie
biddie,bridie
biddy,bridget
biddy,bridgie
biddy,bridie
bridget,biddie
bridget,biddy
bridget,bridgie
bridget,bridie
bridgie,biddie
bridgie,biddy
bridgie,bridget
bridgie,bridie
bridie,biddie
bridie,biddy
bridie,bridget
bridie,bridgie
britt,brittany
brittany,britt
brady,broderick
brady,rick
brady,ricky
broderick,brady
broderick,brody
broderick,rick
broderick,ricky
brody,broderick
brody,rick
brody,ricky
rick,brady
rick,broderick
rick,brody
rick,ricky
ricky,brady
ricky,broderick
ricky,brody
ricky,rick
cal,calvin
calvin,cal
caldonia,calliedona
calliedona,caldonia
cal,caleb
caleb,cal
california,callie
callie,california
calista,kissy
kissy,calista
cally,calpurnia
calpurnia,cally
cal,vin
cal,vinny
calvin,vin
calvin,vinny
vin,cal
vin,calvin
vin,vinny
vinny,cal
vinny,calvin
vinny,vin
cam,cameron
cam,ron
cam,ronny
cameron,cam
cameron,ron
cameron,ronny
ron,cam
ron,cameron
ron,ronny
ronny,cam
ronny,cameron
ronny,ron
camille,cammie
camille,millie
cammie,camille
cammie,millie
millie,camille
millie,cammie
cam,campbell
campbell,cam
candace,candy
candace,dacey
candy,candace
candy,dacey
dacey,candace
dacey,candy
carlotta,lottie
lottie,carlotta
carl,carlton
carlton,carl
carmellia,mellia
mellia,carmellia
cammie,carm
cammie,carmon
cammie,charm
carm,cammie
carm,carmon
carm,charm
carmon,cammie
carmon,carm
carmon,charm
charm,cammie
charm,carm
charm,carmon
carol,carolann
carol,carole
carol,caroline
carol,carrie
carol,cassie
carol,lynn
carolann,carol
carolann,carole
carolann,caroline
carolann,carrie
carolann,cassie
carolann,lynn
carole,carol
carole,carolann
carole,caroline
carole,carrie
carole,cassie
carole,lynn
caroline,carol
caroline,carolann
caroline,carole
caroline,carrie
caroline,cassie
caroline,lynn
carrie,carol
carrie,carolann
carrie,carole
carrie,caroline
carrie,cassie
carrie,lynn
cassie,carol
cassie,carolann
cassie,carole
cassie,caroline
cassie,carrie
cassie,lynn
lynn,carol
lynn,carolann
lynn,carole
lynn,caroline
lynn,carrie
lynn,cassie
carolyn,carrie
carolyn,cassie
carolyn,lynn
carrie,carolyn
cassie,carolyn
lynn,carolyn
carthaette,etta
carthaette,etty
etta,carthaette
etta,etty
etty,carthaette
etty,etta
casey,k.c.
k.c.,casey
casper,jasper
jasper,casper
cassandra,cassie
cassandra,sandra
cassandra,sandy
cassie,cassandra
cassie,sandra
cassie,sandy
sandra,cassandra
sandra,cassie
sandy,cassandra
sandy,cassie
cass,caswell
caswell,cass
cassie,catherine
cassie,cathy
cassie,kathy
cassie,katy
cassie,kay
cassie,kit
cassie,kittie
cassie,lena
cassie,trina
catherine,cassie
catherine,cathy
catherine,kathy
catherine,katy
catherine,kay
catherine,kit
catherine,kittie
catherine,lena
catherine,trina
cathy,cassie
cathy,catherine
cathy,kathy
cathy,katy
cathy,kay
cathy,kit
cathy,kittie
cathy,lena
cathy,trina
kathy,cassie
kathy,catherine
kathy,cathy
kathy,katy
kathy,kay
kathy,kit
kathy,kittie
kathy,lena
kathy,trina
katy,cassie
katy,catherine
katy,cathy
katy,kathy
katy,kay
katy,kit
katy,kittie
katy,lena
katy,trina
kay,cassie
kay,catherine
kay,cathy
kay,kathy
kay,katy
kay,kit
kay,kittie
kay,lena
kay,trina
kit,cassie
kit,catherine
kit,cathy
kit,kathy
kit,katy
kit,kay
kit,kittie
kit,lena
kit,trina
kittie,cassie
kittie,catherine
kittie,cathy
kittie,kathy
kittie,katy
kittie,kay
kittie,kit
kittie,lena
kittie,trina
lena,cassie
lena,catherine
lena,cathy
lena,kathy
lena,katy
lena,kay
lena,kit
lena,kittie
lena,trina
trina,cassie
trina,catherine
trina,cathy
trina,kathy
trina,katy
trina,kay
trina,kit
trina,kittie
trina,lena
cassie,cathleen
cathleen,cassie
cathleen,cathy
cathleen,kathy
cathleen,katy
cathleen,kay
cathleen,kit
cathleen,kittie
cathleen,lena
cathleen,trina
cathy,cathleen
kathy,cathleen
katy,cathleen
kay,cathleen
kit,cathleen
kittie,cathleen
lena,cathleen
trina,cathleen
catherine,cathleen
cathleen,catherine
cecilia,celia
cecilia,cissy
celia,cecilia
celia,cissy
cissy,cecilia
cissy,celia
ced,cedric
ced,rick
ced,ricky
cedric,ced
cedric,rick
cedric,ricky
rick,ced
rick,cedric
ricky,ced
ricky,cedric
celeste,celia
celeste,lessie
celia,celeste
celia,lessie
lessie,celeste
lessie,celia
celinda,linda
celinda,lindy
celinda,lynn
linda,celinda
linda,lindy
linda,lynn
lindy,celinda
lindy,linda
lindy,lynn
lynn,celinda
lynn,linda
lynn,lindy
charity,chat
chat,charity
carl,charles
carl,charlie
carl,chick
carl,chuck
charles,carl
charles,charlie
charles,chick
charles,chuck
charlie,carl
charlie,charles
charlie,chick
charlie,chuck
chick,carl
chick,charles
chick,charlie
chick,chuck
chuck,carl
chuck,charles
chuck,charlie
chuck,chick
char,charlotte
char,lotta
char,lottie
char,sherry
charlotte,char
charlotte,lotta
charlotte,lottie
charlotte,sherry
lotta,char
lotta,charlotte
lotta,lottie
lotta,sherry
lottie,char
lottie,charlotte
lottie,lotta
lottie,sherry
sherry,char
sherry,charlotte
sherry,lotta
sherry,lottie
chan,chauncey
chauncey,chan
cher,sher
sher,cher
cheryl,sheryl
sheryl,cheryl
chesley,chet
chet,chesley
chester,chet
chet,chester
caroline,charlotte
caroline,chick
caroline,chuck
charlotte,caroline
charlotte,chick
charlotte,chuck
chick,caroline
chick,charlotte
chuck,caroline
chuck,charlotte
chloe,clo
clo,chloe
chris,christina
chris,christine
chris,christopher
christina,chris
christina,christine
christina,christopher
christine,chris
christine,christina
christine,christopher
christopher,chris
christopher,christina
christopher,christine
chris,christa
christa,chris
chris,christian
chris,kit
christian,chris
christian,kit
kit,chris
kit,christian
ann,chris
ann,christiana
ann,christy
ann,crissy
ann,kris
ann,kristy
ann,tina
chris,ann
chris,christiana
chris,christy
chris,crissy
chris,kris
chris,kristy
chris,tina
christiana,ann
christiana,chris
christiana,christy
christiana,crissy
christiana,kris
christiana,kristy
christiana,tina
christy,ann
christy,chris
christy,christiana
christy,crissy
christy,kris
christy,kristy
christy,tina
crissy,ann
crissy,chris
crissy,christiana
crissy,christy
crissy,kris
crissy,kristy
crissy,tina
kris,ann
kris,chris
kris,christiana
kris,christy
kris,crissy
kris,kristy
kris,tina
kristy,ann
kristy,chris
kristy,christiana
kristy,christy
kristy,crissy
kristy,kris
kristy,tina
tina,ann
tina,chris
tina,christiana
tina,christy
tina,crissy
tina,kris
tina,kristy
christina,christy
christina,crissy
christina,kris
christina,kristy
christina,tina
christy,christina
crissy,christina
kris,christina
kristy,christina
tina,christina
chris,chrissy
chrissy,chris
chrissy,christine
chrissy,crissy
chrissy,kris
chrissy,kristy
chrissy,tina
christine,chrissy
christine,crissy
christine,kris
christine,kristy
christine,tina
crissy,chrissy
crissy,christine
kris,chrissy
kris,christine
kristy,chrissy
kristy,christine
tina,chrissy
tina,christine
christopher,kit
kit,christopher
cicely,cilla
cilla,cicely
arilla,cinderella
arilla,cindy
arilla,rella
arilla,rilla
cinderella,arilla
cinderella,cindy
cinderella,rella
cinderella,rilla
cindy,arilla
cindy,cinderella
cindy,rella
cindy,rilla
rella,arilla
rella,cinderella
rella,cindy
rella,rilla
rilla,arilla
rilla,cinderella
rilla,cindy
rilla,rella
cinderlla,cindy
cindy,cinderlla
clair,claire
clair,clara
clair,clare
claire,clair
claire,clara
claire,clare
clara,clair
clara,claire
clara,clare
clare,clair
clare,claire
clare,clara
clara,clarissa
clarissa,clara
clair,clarence
clare,clarence
clarence,clair
clarence,clare
clara,clarinda
clarinda,clara
cissy,clara
cissy,clarissa
clara,cissy
clarissa,cissy
claud,claudia
claudia,claud
cleat,cleatus
cleatus,cleat
clem,clement
clement,clem
clem,clementine
clement,clementine
clementine,clem
clementine,clement
cliff,clifford
clifford,cliff
cliff,ford
clifford,ford
ford,cliff
ford,clifford
cliff,clifton
cliff,tony
clifton,cliff
clifton,tony
tony,cliff
tony,clifton
cole,colie
colie,cole
clum,columbus
columbus,clum
con,conny
conny,con
con,conrad
conny,conrad
conrad,con
conrad,conny
connie,constance
constance,connie
cordelia,cordy
cordelia,delia
cordy,cordelia
cordy,delia
delia,cordelia
delia,cordy
coco,cordy
coco,corey
coco,ree
cordy,coco
cordy,corey
cordy,ree
corey,coco
corey,cordy
corey,ree
ree,coco
ree,cordy
ree,corey
cora,corinne
cora,ora
corinne,cora
corinne,ora
ora,cora
ora,corinne
cornelia,cornie
cornelia,corny
cornelia,nelia
cornelia,nelle
cornelia,nelly
cornie,cornelia
cornie,corny
cornie,nelia
cornie,nelle
cornie,nelly
corny,cornelia
corny,cornie
corny,nelia
corny,nelle
corny,nelly
nelia,cornelia
nelia,cornie
nelia,corny
nelia,nelle
nelia,nelly
nelle,cornelia
nelle,cornie
nelle,corny
nelle,nelia
nelle,nelly
nelly,cornelia
nelly,cornie
nelly,corny
nelly,nelia
nelly,nelle
con,cornelius
con,corny
con,niel
conny,cornelius
conny,corny
conny,niel
cornelius,con
cornelius,conny
cornelius,corny
cornelius,niel
corny,con
corny,conny
corny,cornelius
corny,niel
niel,con
niel,conny
niel,cornelius
niel,corny
coco,cory
cordy,cory
cory,coco
cory,cordy
cory,ree
ree,cory
court,courtney
court,curt
courtney,court
courtney,curt
curt,court
curt,courtney
chris,crys
chris,crystal
chris,stal
chris,tal
crys,chris
crys,crystal
crys,stal
crys,tal
crystal,chris
crystal,crys
crystal,stal
crystal,tal
stal,chris
stal,crys
stal,crystal
stal,tal
tal,chris
tal,crys
tal,crystal
tal,stal
curt,curtis
curtis,curt
cy,cyrus
cyrus,cy
cindy,cintha
cindy,cynthia
cintha,cindy
cintha,cynthia
cynthia,cindy
cynthia,cintha
cene,cy
cene,cyrenius
cene,renius
cene,serene
cene,swene
cy,cene
cy,cyrenius
cy,renius
cy,serene
cy,swene
cyrenius,cene
cyrenius,cy
cyrenius,renius
cyrenius,serene
cyrenius,swene
renius,cene
renius,cy
renius,cyrenius
renius,serene
renius,swene
serene,cene
serene,cy
serene,cyrenius
serene,renius
serene,swene
swene,cene
swene,cy
swene,cyrenius
swene,renius
swene,serene
daisy,margaret
margaret,daisy
dahl,dal
dal,dahl
dahl,dalton
dalton,dahl
dan,daniel
dan,danny
daniel,dan
daniel,danny
danny,dan
danny,daniel
dani,danielle
dani,ellie
danielle,dani
danielle,ellie
ellie,dani
ellie,danielle
daph,daphie
daph,daphne
daphie,daph
daphie,daphne
daphne,daph
daphne,daphie
darlene,darry
darlene,lena
darry,darlene
darry,lena
lena,darlene
lena,darry
dave,david
david,dave
davey,david
david,davey
dave,davey
dave,day
davey,dave
davey,day
david,day
day,dave
day,davey
day,david
ann,deanne
ann,dee
deanne,ann
deanne,dee
dee,ann
dee,deanne
deb,deborah
deb,debra
deborah,deb
deborah,debra
debra,deb
debra,deborah
deb,debbie
deb,debby
debbie,deb
debbie,debby
debbie,deborah
debbie,debra
debby,deb
debby,debbie
debby,deborah
debby,debra
deborah,debbie
deborah,debby
debra,debbie
debra,debby
deb,debora
debbie,debora
debby,debora
debora,deb
debora,debbie
debora,debby
deedee,deidre
deidre,deedee
cordelia,delius
cordelia,fidelia
delia,delius
delia,fidelia
delius,cordelia
delius,delia
delius,fidelia
fidelia,cordelia
fidelia,delia
fidelia,delius
delilah,dell
delilah,della
delilah,lil
delilah,lila
dell,delilah
dell,lil
dell,lila
della,delilah
della,lil
della,lila
lil,delilah
lil,dell
lil,della
lil,lila
lila,delilah
lila,dell
lila,della
lila,lil
deliverance,della
deliverance,delly
deliverance,dilly
della,deliverance
della,delly
della,dilly
delly,deliverance
delly,della
delly,dilly
dilly,deliverance
dilly,della
dilly,delly
adela,adelaide
adela,delilah
adelaide,adela
adelaide,delilah
delilah,adela
delilah,adelaide
dee,dell
dee,della
dee,delores
dee,lola
dee,lolly
dell,dee
dell,delores
dell,lola
dell,lolly
della,dee
della,delores
della,lola
della,lolly
delores,dee
delores,dell
delores,della
delores,lola
delores,lolly
lola,dee
lola,dell
lola,della
lola,delores
lola,lolly
lolly,dee
lolly,dell
lolly,della
lolly,delores
lolly,lola
delpha,philadelphia
philadelphia,delpha
del,delf
del,delphi
del,delphine
delf,del
delf,delphi
