id_a,fname,lookup
456,amanda,mandy
457,amy,amelia
459,annie,steph
460,barbara,babs
461,benjamin,benjy
463,brenda,brandy
464,charles,chick
468,curtis,curt
469,cynthia,cindy
470,david,day
471,david,davey
473,deborah,debbie
474,dennis,denise
475,dennis,denise
476,donald,donny
478,faith,fay
481,genevieve,jenny
482,georgia,georgiana
488,jay,jaap
489,jean,jessie
490,jeffrey,jeff
491,jessica,jessie
492,jessica,jessie
497,johnny,jack
498,josh,jos
499,judith,jude
500,justin,justina
501,kenneth,ken
502,kenneth,ken
504,larry,lon
505,lillian,lil
506,linda,roz
507,linda,rosa
509,martha,patty
510,melissa,lissa
511,michael,micky
512,nathan,nate
513,patricia,patsy
515,rebecca,becky
517,richard,dickon
519,robbie,bobbie
520,robert,fred
521,ronald,naldo
522,ronnie,frony
523,ronnie,vonnie
526,sabrina,brina
530,susan,susie
534,tim,timmy
535,willie,bela
536,barbara,barbie
537,ali,alazama
538,jonathan,johnny
539,jonathan,nathan
540,rebecca,beck
541,robert,william
543,allen,al
546,amy,amelia
550,charles,chick
551,charles,carl
552,david,dave
553,dennis,denny
556,edward,eddy
557,elizabeth,beth
558,ernest,ernie
559,floyd,lloyd
561,jacob,jake
562,jacqueline,jack
563,james,jim
565,jennifer,jennie
566,jeremiah,jereme
567,jerry,dina
568,jessica,jessie
569,jimmy,jim
570,john,jack
571,johnny,jock
572,joseph,jody
573,june,junior
574,kathy,kaye
576,leonard,lenny
578,linda,rose
581,mary,maris
582,melissa,lisa
583,michael,mike
584,michelle,mickey
585,miriam,mimi
586,nancy,ann
587,nathaniel,nathan
589,penny,penelope
591,raymond,ray
592,richard,dicky
593,robbie,bert
594,rose,roseanna
596,sidney,sid
598,stephen,annie
601,tom,thom
606,william,wilma
607,william,billy
608,beverly,bev
609,gene,eugene
611,barbara,barby
612,heather,hetty
613,timothy,timmy
615,karen,karon
616,william,bill
617,barbara,barby
618,william,fred
620,benjamin,benjy
621,john,johannes
622,paul,pauline
625,margaret,marge
626,alan,al
628,gregory,greg
629,james,jamie
631,kimberly,kimberley
632,kimberly,kim
633,mary,marcie
634,stephanie,steph
637,anna,ann
638,annette,anna
639,barbara,barbie
640,benjamin,ben
642,betty,liza
644,billy,robert
645,billy,fred
648,carol,carole
651,cora,corinne
652,cory,cordy
653,crate,socrates
654,david,dave
656,ella,ellen
657,evelyn,eve
660,george,georgia
661,gwen,gwendolyn
664,isaac,zeke
667,joe,joseph
668,jon,john
669,joseph,jody
670,katherine,kathy
671,kenneth,ken
677,margaret,gretta
678,mary,marsha
679,mary,demaris
680,michael,mick
681,michelle,mickey
682,mildred,milly
685,pamela,pam
687,paul,polly
688,peggy,margy
689,phillip,philip
691,richard,dickon
692,richard,dick
693,richard,ricky
696,rose,ann
698,sanford,sandy
701,shirley,sherry
702,shirley,lee
703,sidney,syd
704,steve,steven
705,steven,stephen
706,thomas,tommy
708,virginia,jennie
709,virginia,virgy
710,walter,wally
711,william,billiewilhelm
712,willie,wilfred
713,barbara,bobbie
714,victor,vicky
716,andrew,andrea
718,barbara,barbie
719,carole,caroline
720,edward,ned
721,eric,rick
723,james,jimmy
725,joy,joyce
726,martin,marty
727,melissa,lizzie
728,michael,micah
729,patricia,patty
730,penelope,penny
731,randy,mandy
732,robert,bill
733,robert,bill
734,robert,bob
735,ronald,ronnie
736,savannah,anna
738,sheila,cecilia
739,shirley,sherry
740,ted,teddy
741,walter,walt
742,wendy,gwen
743,william,willy
746,helen,ellender
747,michael,micah
748,nancy,nanny
749,robert,hobkin
751,arnold,arnie
752,beverly,bev
754,brady,ricky
755,brian,bryan
756,danny,dan
759,james,jimmy
760,joy,joyce
761,laura,laurinda
762,mary,mamie
763,nathan,than
764,patricia,tricia
765,regina,reggie
767,samuel,sammy
768,susan,hannah
769,tammy,tamarra
770,william,bela
771,william,willy
772,wilma,william
773,carl,carlton
774,charles,chuck
776,edwin,eddie
778,frank,franklind
779,frank,franklin
780,larry,lorne
782,louise,lois
783,mark,marcus
784,mary,mitzi
785,archie,archibald
787,betty,libby
789,daniel,danny
791,diana,dicey
792,douglas,doug
793,douglas,doug
797,freda,freddy
799,gertrude,trudy
801,jack,jackson
802,jack,jock
803,jack,jackie
804,james,jamie
805,james,jimmy
806,janice,jan
807,jimmy,jim
808,john,johannes
809,john,jonathan
812,judy,judith
814,kimberly,kimberley
815,larry,lorne
817,mandy,miranda
818,mary,maris
819,max,maxine
820,melanie,mellie
821,michael,mike
823,sherry,charlotte
825,william,robert
826,andrew,andrea
828,james,jimmy
830,adam,ade
831,adam,ade
832,adam,edie
833,alexis,lexi
834,amy,mel
837,betty,lisa
838,betty,liz
839,beverly,bev
842,brandy,brenda
843,brenda,brandy
844,brenda,brandy
845,brenda,brandy
846,charles,charlie
847,charles,chick
848,charles,chuck
849,cheryl,sheryl
850,christina,christine
851,christy,chris
852,clara,clare
853,crystal,chris
855,david,day
856,david,day
857,david,davey
858,david,dave
859,donald,don
860,donald,donny
861,donald,donny
862,donald,dony
863,donald,donnie
866,eddie,edward
867,elizabeth,liza
868,elizabeth,libby
869,ellen,helena
870,emily,milly
873,ezekiel,ez
874,frank,frankie
875,franklin,fran
878,gretchen,margaret
879,heidi,adele
882,inez,agnes
883,irene,rena
884,james,jim
885,jamie,benjy
886,janet,jess
887,janet,nettie
890,jessica,jessie
891,john,nathan
892,john,jack
893,john,johnny
894,john,jock
895,jonathan,johannes
896,joshua,jos
897,judy,juda
898,julia,jill
899,karen,happy
900,kimberly,kimberley
901,kristopher,chris
902,larry,laurence
903,lenny,leon
904,linda,belle
905,lisa,alicia
906,lucille,cille
907,lucille,lu
909,luther,luke
910,malachi,mally
911,marsha,mary
913,marvin,marv
915,michael,mike
916,michael,micky
919,oliver,ollie
920,pamela,pam
921,paul,paula
922,paul,polly
923,peggy,rita
924,phillip,phil
926,richard,richie
927,richard,richie
928,richard,rick
929,robert,bill
932,russell,rusty
937,sherry,lottie
938,sondra,sonnie
939,susan,hannah
940,tammy,tamarra
942,teresa,terry
943,teresa,tess
944,thomas,tommy
946,tracy,theresa
947,vernon,verna
948,virginia,jane
949,wendy,gwen
950,william,bell
951,william,wilma
952,william,bell
953,william,billiewilhelm
954,ernest,ernestine
955,lena,arly
956,lena,kathy
958,megan,maisie
960,samuel,sam
961,samuel,sam
962,sherry,lotta
963,winnie,fred
965,sheryl,sher
966,anna,savannah
967,jacob,jake
968,jonathan,johannes
969,carl,chuck
970,gregory,greg
972,kimberly,kimberley
973,elizabeth,liza
976,alexander,alexandra
979,billy,bela
980,corey,cordy
981,george,georgiana
982,james,jem
983,marie,maria
984,randy,mira
985,rick,ced
986,sarah,sadie
989,stephen,stephie
990,amanda,mandy
992,carolyn,cassie
993,charlotte,lottie
994,courtney,court
995,debora,debby
999,gerald,jerry
1001,james,jamie
1003,jeannie,jane
1006,judy,judith
1007,kathy,kay
1010,lorraine,lorrie
1011,olivia,livia
1013,steve,stephan
1014,teresa,theresa
1015,theresa,thirza
1019,peter,pete
1020,james,jim
1022,kathy,kaye
1023,mark,marcus
1024,brittany,britt
1025,daniel,danny
1026,margaret,rita
1027,anne,nan
1028,dorothy,dotty
1029,gilbert,bert
1031,greg,gregory
1032,patricia,patrick
1033,patrick,paddy
1034,robert,hob
1037,billy,robert
1038,brian,bryant
1040,diana,di
1041,essie,hester
1043,jerry,gerrie
1044,judy,jude
1045,marsha,marcie
1046,michelle,mickey
1047,randy,dolph
1049,sharon,sha
1050,timmy,tim
1052,maureen,mamie
1053,charles,chick
1055,deborah,debra
1057,thomas,tom
1058,david,davey
1059,tammy,tamarra
1060,charlotte,caroline
1061,tom,tommy
1063,brittany,britt
1064,melissa,missy
1065,thomas,thom
1066,lisa,allie
1068,jessica,jessie
1069,john,jock
1070,elena,helen
1071,karen,karonhappuck
1072,william,willie
1074,carolyn,cassie
1076,lewis,lou
1077,mary,marietta
1078,aaron,ron
1080,daniel,danny
1083,harold,harry
1084,ricky,brody
1085,roberta,birdie
1086,sandra,cassandra
1088,mary,molly
1089,helen,nellie
1090,raymond,ray
1091,helene,ella
1092,adam,edie
1093,angela,angelina
1094,anthony,tony
1095,cathy,kate
1096,charles,carl
1098,david,dave
1099,deborah,debra
1100,doris,dora
1102,gerald,geraldine
1103,gregory,greg
1104,herman,dutch
1105,james,jamie
1106,leonard,lenny
1107,margaret,gretta
1109,mary,mittie
1111,rosa,rosalinda
1114,william,bill
1115,helen,eileen
1117,diane,di
1118,barbara,bab
1119,donald,don
1120,jill,julia
1121,james,jimmy
1123,mike,micky
1124,arthur,art
1125,carol,lynn
1126,agnes,aggy
1127,beverly,bev
1128,david,day
1129,william,willy
1130,linda,melinda
1131,mark,marcus
1132,edward,eddy
1133,evelyn,ev
1134,thomas,tom
1135,adam,edie
1136,william,bell
1139,raymond,ray
1140,james,jim
1141,adrienne,adrian
1143,derrick,eric
1144,elizabeth,lib
1145,james,jimmy
1146,james,jim
1148,lisa,lizzie
1149,carol,carole
1150,nicole,nole
1151,amanda,manda
1153,barbara,barby
1156,carrie,carole
1157,cassie,sandy
1158,charles,chuck
1159,charles,chuck
1160,david,davey
1163,edward,teddy
1164,edwin,eddie
1165,elizabeth,bess
1168,harold,harry
1170,jane,jincy
1171,janice,jan
1172,jennifer,jenny
1173,jennifer,jennie
1174,jennifer,jenny
1175,jennifer,jennie
1178,jimmy,jamie
1179,joan,nonie
1180,john,jon
1183,jonathan,johnny
1184,jonathan,johannes
1185,jonathan,johannes
1186,joshua,jos
1187,joy,joyce
1188,katherine,kay
1189,kimberly,kim
1190,lisa,libby
1191,mark,marcus
1193,matthew,thias
1194,megan,margarita
1195,melanie,mellie
1196,michael,mike
1197,michael,micky
1199,mona,ramona
1200,nathan,nate
1201,patricia,tricia
1202,patricia,patty
1204,rachel,shelly
1206,rickie,roderick
1209,samuel,sammy
1210,samuel,sammy
1211,sandra,alexander
1212,tammy,tamarra
1213,tony,antoinette
1214,tony,netta
1215,vernon,verna
1216,william,will
1217,willie,wilbur
1219,ann,tony
1222,thomas,tommy
1223,bridget,bridgie
1224,joshua,jos
1225,raymond,ray
1226,shirley,lee
1227,katherine,trina
1228,william,bell
1230,gene,eugene
1231,ivan,john
1233,matthew,matty
1234,mattie,marty
1235,melissa,mel
1236,randy,randolph
1238,stacy,ana
1239,stephanie,stephie
1241,teddy,eddy
1244,elaine,lanna
1245,harold,henry
1248,kristin,chris
1249,alex,albert
1250,betty,bessie
1251,curtis,curt
1252,cynthia,cindy
1253,deborah,debbie
1254,jennifer,jennie
1256,joann,jo
1257,john,ian
1258,lewis,lou
1259,linda,mel
1260,steve,stephan
1262,roy,leroy
1263,sharon,shay
1264,annette,nettie
1265,john,ian
1266,luke,luther
1267,melissa,milly
1268,alexander,alex
1269,christina,kris
1270,christine,crissy
1271,eileen,aileen
1272,john,johnny
1273,ronald,ronnie
1274,brandy,brenda
1275,charity,chat
1278,horace,horry
1279,james,jim
1280,jane,angeline
1281,joseph,joey
1282,justin,justina
1283,laura,lawrence
1284,madge,maggie
1285,michael,micky
1286,nancy,ann
1287,phillip,phil
1288,robert,bobby
1289,sharon,shay
1290,shirley,shirl
1292,kathleen,kittie
1293,robert,billy
1294,sandra,alla
1295,donald,donnie
1298,samantha,mantha
1299,bobby,hob
1300,charles,chick
1301,edna,edny
1302,kathryn,kathy
1303,leroy,l.r.
1304,louise,elouise
1307,betty,beth
1308,caleb,cal
1309,charles,chick
1310,frank,francis
1311,george,georgiana
1312,gwendolyn,gwen
1313,harold,hal
1314,joshua,josh
1317,michael,mike
1318,michael,micah
1319,ralph,raphael
1320,rebecca,reba
1322,sharon,shay
1324,tammy,tamarra
1325,william,willy
1326,adam,ade
1328,dora,eudora
1329,jackie,jacqueline
1330,joanne,jo
1331,lisa,alice
1333,robert,william
1334,robert,billy
1335,robert,hob
1336,serena,rena
1337,william,billiewilhelm
1339,joanne,jo
1340,john,johannes
1341,angel,angela
1345,dorothy,dolly
1346,gerald,geraldine
1347,gregory,greg
1348,kate,kittie
1349,martha,patty
1350,mary,may
1351,sarah,sadie
1354,vickie,victoria
1357,angela,angeline
1358,barbara,barbie
1359,belinda,belle
1361,brian,bryant
1362,carl,carlton
1363,carolyn,cassie
1365,david,day
1366,eloise,elouise
1367,frank,frankie
1368,gerald,jerry
1370,janice,jan
1372,jessica,jessie
1373,judie,judith
1375,kenneth,kendrick
1376,kenneth,kenny
1377,lewis,lou
1378,linda,celinda
1379,lois,louisa
1380,lola,della
1381,lucille,lu
1382,malcolm,mal
1383,michael,mick
1385,patricia,patrick
1386,pauline,paula
1387,phillip,philip
1388,raymond,ray
1389,ronald,ronnie
1390,roy,l.r.
1391,sharon,shay
1392,susan,sue
1395,william,bill
1396,donald,donnie
1397,michael,micky
1399,andrea,andrew
1400,angela,angeline
1401,angie,jane
1402,brenda,brandy
1403,carrie,karonhappuck
1404,charles,chuck
1405,courtney,curt
1406,cynthia,cindy
1408,david,day
1409,david,dave
1410,diane,dicey
1411,donald,donnie
1412,donald,donnie
1413,donald,donnie
1416,gail,abigail
1417,gene,eugene
1418,gilbert,gil
1419,harold,henry
1420,harold,henry
1421,harold,hal
1422,hattie,harriet
1423,heather,hetty
1424,janice,jan
1426,jimmy,jem
1427,josh,joshua
1428,julia,jill
1429,justin,justina
1432,larry,laurence
1433,martha,mat
1434,mary,mitty
1435,mary,mittie
1436,mary,molly
1437,melvin,mel
1438,michael,micky
1439,nancy,annie
1441,pam,pamela
1442,ralph,raphael
1443,rebecca,beck
1444,robert,dob
1445,ronald,naldo
1446,sabrina,brina
1447,sharon,shay
1448,sharon,sha
1449,tammy,tamarra
1451,teresa,tessa
1452,tim,timothy
1453,timothy,tim
1456,cynthia,cintha
1457,jonathan,johannes
1458,max,maxine
1460,jennifer,jenny
1461,dorothy,dortha
1462,mark,marcus
1463,peter,pate
1464,andrew,drea
1466,anthony,tony
1467,rebecca,reba
1468,adam,edie
1470,billy,willy
1473,christopher,chris
1474,david,day
1475,diana,di
1476,donald,donny
1477,eugene,gene
1478,gail,nabby
1480,jonathan,john
1481,joseph,jos
1482,juanita,nita
1483,karen,karon
1485,larry,lorry
1486,mary,maria
1488,nicole,nole
1490,sandra,alexander
1491,valerie,val
1492,william,bell
1493,laura,lawrence
1494,billy,fred
1495,gwendolyn,wendy
1496,carol,cassie
1497,laura,laurinda
1498,samuel,sam
1499,william,fred
1501,carrie,happy
1503,karen,carrie
1504,george,jorge
1506,robert,bob
1507,sherry,charlotte
1509,andy,andrew
1510,bobby,hodge
1513,mamie,maureen
1514,margaret,maggy
1517,edward,ted
1518,barbara,bobbie
1519,lawrence,lon
1520,myra,samyra
1521,nick,nicodemus
1522,christine,tina
1523,august,austin
1525,veronica,ronnie
1526,robert,dob
1527,teresa,terry
1531,christian,kit
1532,aaron,ronnie
1533,alan,al
1534,allen,al
1535,amy,emily
1536,amy,millie
1541,beth,bess
1542,betty,betsy
1543,bill,wilbur
1544,billy,fred
1545,bob,bobby
1546,bobby,dob
1549,brenda,brandy
1551,charles,carl
1552,charles,chick
1554,christina,christy
1555,courtney,curt
1556,crystal,crys
1557,daniel,dan
1558,david,dave
1559,deborah,debra
1560,debra,deborah
1565,edna,edny
1566,elaine,lena
1568,emily,emeline
1569,eric,ricky
1570,etta,etty
1572,frances,franniey
1574,gertrude,gert
1575,gregory,greg
1579,jack,john
1581,james,jimmie
1582,james,jamie
1583,james,jamie
1584,janice,jan
1585,jay,jayme
1587,jean,jane
1588,jeff,jefferey
1589,jennifer,jennie
1590,jeremiah,jerry
1593,jonathan,johnny
1594,joshua,josh
1595,joyce,joy
1597,justin,justina
1599,kendra,kay
1600,kenneth,kendrick
1601,kenneth,kendrick
1602,kenneth,kendrick
1604,larry,lon
1605,larry,lonny
1606,linda,lindy
1607,linda,lindy
1609,mary,maureen
1611,mildred,milly
1612,monica,monnie
1613,nancy,nana
1614,nell,eileen
1615,nicholas,claes
1617,patricia,patsy
1618,patricia,patrick
1619,patricia,tricia
1620,phillip,phil
1621,rachel,shelly
1622,randy,dolph
1623,randy,mandy
1624,ray,raymond
1625,ray,raymond
1629,roger,roge
1630,roger,robin
1631,samantha,sam
1632,samuel,sammy
1633,sarah,sadie
1635,shirley,sherry
1636,shirley,shirl
1640,stephen,steph
1641,steven,steve
1644,teddy,edward
1645,teresa,tessa
1646,thomas,thom
1647,thomas,thom
1648,tiffany,tiffy
1649,timothy,timmy
1654,vicky,victor
1655,virginia,virgy
1656,wallace,wally
1659,william,willy
1660,patricia,trisha
1661,regina,gina
1662,tony,netta
1663,joyce,joy
1669,bennie,benedict
1670,christine,chrissy
1671,john,jon
1672,amy,millie
1673,alicia,lisa
1676,christine,chris
1677,elizabeth,lizzie
1678,richard,dickie
1679,donald,donnie
1680,clifton,cliff
1681,natasha,nat
1683,betty,liza
1684,harold,harry
1685,janice,jan
1686,james,jamie
1687,joe,jos
1688,peggy,peg
1690,heather,hetty
1692,howard,hal
1693,joan,joanna
1694,nora,leonore
1695,ted,teddy
1698,sarah,sally
1699,amy,amelia
1700,charles,chuck
1701,derrick,ricky
1702,frances,cissy
1703,jerry,gerald
1704,jimmy,jimmie
1705,julia,julie
1707,laura,lawrence
1708,walter,walt
1709,fred,winnie
1711,nadine,deedee
1712,nora,nelly
1713,robbie,bert
1714,robert,rob
1715,sharon,shay
1716,william,wilma
1717,william,wilma
1718,george,georgia
1719,susan,susie
1720,geraldine,gerald
1721,alfred,al
1722,linda,belinda
1723,joann,jo
1724,terry,theresa
1726,albert,al
1728,arnie,arnold
1731,billy,robert
1733,charles,charlie
1734,charles,carl
1737,david,day
1741,georgia,georgiana
1742,hattie,harriet
1743,heather,hetty
1745,ike,isaac
1746,james,jimmy
1747,james,jamie
1748,jennifer,jenny
1749,jennifer,jenny
1750,jennifer,jennie
1751,jessica,jessie
1752,john,jonathan
1753,junior,jr
1754,kathy,katy
1756,kendra,kenj
1760,laura,lawrence
1761,lily,lilly
1762,linda,celinda
1763,lola,dell
1767,patrick,peter
1768,ralph,raphael
1770,regina,gina
1771,roger,bobby
1772,ronald,ronny
1773,sam,mantha
1774,sarah,sally
1775,sarah,sadie
1776,valerie,val
1779,barbara,bab
1780,chester,chet
1781,ellen,nellie
1782,jack,johnny
1783,paul,paula
1784,rebecca,becky
1785,rita,peggy
1786,scott,sceeter
1787,sheila,cecilia
1788,vester,vessie
1790,billy,willy
1794,clair,clara
1795,jay,jaap
1796,barbara,barby
1797,barbara,barbie
1798,bo,boetius
1799,charles,chuck
1800,deborah,debby
1801,jessica,jessie
1802,judy,judith
1803,michelle,mickey
1804,robert,dobbin
1805,shirley,sherry
1806,steve,stephen
1808,william,fred
1809,james,jim
1810,robert,billy
1812,julie,julia
1813,kenneth,ken
1815,edgar,eddy
1817,daniel,danny
1818,daniel,danny
1819,kimberly,kimberley
1821,martin,marty
1822,martin,marty
1825,rita,peg
1827,tina,kris
1828,veronica,ronna
1830,anna,nan
1831,george,georgia
1834,christina,chris
1836,james,jimmy
1837,kathy,kaye
1838,lewis,louis
1839,paul,pauline
1840,sheila,cecilia
1841,stephen,stephie
1842,denise,dennis
1843,anna,nan
1844,brenda,brandy
1845,gail,nabby
1846,steven,steph
1847,john,johnny
1848,loretta,retta
1849,debra,deborah
1850,brian,bryant
1852,larry,lon
1853,michael,mick
1855,richard,dicky
1856,roger,roge
1857,sabrina,brina
1860,brenda,brandy
1861,robert,dobbin
1862,patricia,patrick
1863,michael,micky
1864,samuel,sam
1865,veronica,franky
1866,aaron,ronnie
1868,alicia,elsie
1871,annette,anna
1872,annie,nan
1875,betty,eliza
1876,betty,lizzie
1877,bobby,dobbin
1878,bobby,rod
1882,carolyn,lynn
1883,casey,k.c.
1885,charles,carl
1886,charles,chuck
1887,charlie,chick
1888,charlie,charles
1889,christina,chris
1890,cynthia,cintha
1891,cynthia,cindy
1894,david,dave
1899,edgar,ed
1901,ernest,erna
1902,frances,frankie
1903,frank,franklin
1904,frank,frankie
1908,howard,hal
1909,isaac,ike
1912,james,jem
1913,james,jim
1915,janice,jan
1917,jeanne,jeannie
1920,joyce,joy
1921,kay,cassie
1923,kenneth,ken
1924,larry,laurence
1929,mary,mitty
1930,michael,mick
1931,michelle,mickey
1932,mike,mick
1933,nathan,jonathan
1934,nicholas,claas
1935,paul,pauline
1936,paula,lina
1937,ralph,raphael
1938,ralph,raphael
1939,ray,raymond
1941,robert,dobbin
1942,robin,rupert
1946,ryan,ry
1947,ryan,ry
1948,sandra,cassie
1949,sandy,sandra
1950,savannah,vannie
1951,sheila,cecilia
1952,shirley,sherry
1953,sondra,dre
1954,stephanie,stephen
1955,stephen,stephie
1957,tammy,tamarra
1958,theresa,tracy
1959,tommy,thomas
1960,tony,antonia
1961,tracy,tessa
1965,vicki,vic
1967,wallace,wally
1969,william,bill
1970,william,bell
1971,william,willie
1972,william,willy
1973,wilma,willie
1975,harry,harold
1976,george,georgiana
1979,robert,rob
1980,steven,steve
1981,edward,teddy
1982,judith,judi
1984,oliver,ollie
1985,tammy,tamarra
1986,annette,nettie
1988,david,davey
1989,raymond,ray
1990,karen,carrie
1991,allen,al
1992,christy,tina
1993,connie,constance
1994,cynthia,cindy
1996,gregory,greg
1997,jennifer,jennie
2001,lilly,lillah
2005,alexandra,alexander
2006,carolyn,lynn
2007,mona,ramona
2008,karen,karonhappuck
2009,cheryl,sheryl
2010,joe,joseph
2011,adam,edie
2012,alan,al
2013,amy,amelia
2014,andrew,andrea
2015,andrew,drew
2016,andrew,rea
2020,betty,elizabeth
2021,billy,bela
2023,cameron,ron
2024,charles,charlie
2026,cheryl,sheryl
2027,christopher,christine
2028,clair,clare
2029,cynthia,cindy
2031,daniel,dan
2032,danielle,dani
2035,eric,ricky
